Date,Open,High,Low,Close,Adj Close,Volume
2016-02-22,8.365000,8.505000,8.250000,8.445000,7.252577,45458000
2016-02-29,8.250000,9.235000,8.245000,9.220000,7.918148,48447000
2016-03-07,9.125000,9.245000,8.825000,8.980000,7.712036,38407400
2016-03-14,8.930000,9.305000,8.835000,9.260000,7.952500,27892000
2016-03-21,9.270000,9.415000,9.170000,9.405000,8.077026,27894600
2016-03-28,9.380000,9.665000,9.305000,9.625000,8.265963,37573000
2016-04-04,9.745000,9.745000,8.930000,9.025000,7.750682,37073800
2016-04-11,9.130000,10.235000,9.000000,10.000000,8.588013,65209200
2016-04-18,9.775000,9.805000,9.430000,9.540000,8.192965,38826200
2016-04-25,9.510000,9.700000,9.285000,9.400000,8.072733,27286800
2016-05-02,9.340000,9.465000,9.120000,9.200000,7.900971,26288800
2016-05-09,9.275000,9.550000,9.260000,9.275000,7.965382,20542200
2016-05-16,9.395000,9.490000,9.150000,9.230000,7.926735,19668400
2016-05-23,9.180000,9.745000,9.090000,9.745000,8.369019,25008000
2016-05-30,9.710000,9.840000,9.670000,9.805000,8.420547,16209000
2016-06-06,9.825000,9.880000,8.935000,9.040000,7.763564,47613000
2016-06-13,9.070000,9.160000,8.930000,9.135000,7.930856,31019600
2016-06-20,9.255000,9.495000,9.030000,9.040000,7.848380,31424000
2016-06-27,8.895000,9.000000,8.655000,8.955000,7.774585,48420400
2016-07-04,8.905000,8.965000,8.740000,8.920000,7.744198,20810400
2016-07-11,8.970000,9.240000,8.255000,8.405000,7.297081,77207200
2016-07-18,8.380000,8.455000,8.250000,8.285000,7.192901,49167400
2016-07-25,8.330000,8.445000,8.155000,8.215000,7.132129,36091600
2016-08-01,8.300000,8.320000,8.020000,8.125000,7.053991,55750200
2016-08-08,8.140000,8.270000,8.015000,8.070000,7.006241,53176400
2016-08-15,7.940000,8.135000,7.825000,7.950000,6.902060,50701600
2016-08-22,7.855000,8.290000,7.820000,7.950000,6.902060,63037400
